ep,title,createAt,description,mention,content,attend,link,remark
EP19,從ハチ到米津玄師,2019/4/15,"以知名度來說，你一定聽過米津玄師。不過你知道在成為米津玄師以前 他是 VOCALOID 圈的知名作曲家ハチ(Hachi)嗎？ 從ハチ到米津，讓資深粉絲 woffy 帶你認識你不知道的米津吧~ 

《補充與勘誤》
 woffy 推薦的歌單 Qualia：https://www.youtube.com/watch?v=cHO-o4wThJU 
マトリョシカ（俄羅斯套娃）： https://www.youtube.com/watch?v=qiiICgcXY8U&t=64s 
結ンデ開イテ羅刹ト骸： https://www.youtube.com/watch?v=AKffZySqQts 
GOGO 幽靈船： https://www.youtube.com/watch?v=2PqxOytUjz0 
VIVI： https://www.youtube.com/watch?v=W-Tun8O-Tjk 
woffy 與大大們製作的合本 《Wander Anywhere ─何処かへ行く─ 漂流何方》米津玄師 × ハチ紀念合本 宣傳：https://www.plurk.com/p/n8qjww 購買：http://sho.pe/GCXAY",,,,https://open.firstory.me/story/cjyqpmwat2qdn0743utctrgp6,
EP20,聽PODCAST 聊 PODCAST,2019/4/29,做了 20 集的 Podcast 才發現 Podcast 本身就是很次文化的事情 所以這集就來聊聊 Podcast 吧 為什麼台灣 Podcast 不盛行 有哪些推薦的 Podcast呢？ Podcast 這詞出場太多詞感覺快完型崩壞了,,,,https://open.firstory.me/story/cjyqpmwaw2qdp0743cm6auozn,
EP21,Don Hertzfeldt：簡單的線條，不凡的動畫,2019/5/6,"炫目的視覺與技術固然是動畫最吸引人的特質，但今天想分享的這位作者，Don Hertzfeldt ，正是在動畫領域靠樸拙技法走出了一條奇路的存在。每當我對創作感到疲倦或停滯，就會想重看他的作品。我們身處一個容易與他人比較的社群時代，而視覺、技法又是最常被檢視的標準。 但回歸創作的本質，用現有的資源，自己擅長的表達方式，去說好一個故事，其實是每個創作人最應該辦到的事情。 

小補充： 
早期作品〈BILLY’S BALLOON 〉： https://www.youtube.com/watch?v=7jksRQcI9NA 
短篇代表作 <退件 REJECTED>： https://www.youtube.com/watch?v=W7JyjZI3LUM 〈It’s Such a Beautiful Day 〉： https://vimeo.com/ondemand/itssuchabeautifulday 〈World of Tomorrow〉： https://vimeo.com/ondemand/worldoftomorrow/155036442 Don Hertzfeldt 
談論〈World of Tomorrow〉以及其他創作： https://www.youtube.com/watch?v=kAnVHclZQLE",,,,https://open.firstory.me/story/cjyqpmwaz2qdr0743bigwi3pe,
非正規輯,漫談攝影,2019/5/20,"攝影本身就是相當廣泛的文化 從底片到數位 興趣到高端藝術 自從相機發明的那一刻 攝影就成為了社會中獨特的文化風景 本期節目會從各個角度談論攝影的面貌

然而由於收音上遇到意外 我們遺失了部分內容 就請大家抱持著輕鬆的心情 享受這一盤關於攝影的漫談",,,,https://open.firstory.me/story/cjyqpmwb32qdt0743to3v1j5e,
EP22,一窺音樂遊戲的魅力,2019/6/24,想知道台北地下街手舞足蹈的音樂遊戲玩家，到底在玩什麼嗎？ 當中的曲目不只有阿宅歌，還有《追追追》？ 尼爾不在家，換我非喝牛奶？(編按：完全沒有出現的段落，本來就一直喝牛奶) 一起來和資深音樂玩家小兔，聊聊音GAME系勒PLAY蝦米GAME吧！,,,小兔,https://open.firstory.me/story/cjyqpmwb52qdv0743nqor8as1,
EP23,關注社會議題的人都在想啥,2019/7/2,你身邊有在關注社會議題 總是在事件爆發時轉發或響應的朋友嗎？ 還是你自己就是圈內人呢？ 議題很多 參與者也是五花八門還可能網內互打(誒 繫好安全帶 就讓不專業覺青們帶你安全走一趟社運的心路歷程,,,,https://open.firstory.me/story/cjyqpmwb82qdx07438w1dlt4a,
EP24,網路迷因迷什麼？,2019/7/18,"迷因 meme 是網路流行中最典型的現象 無論圖片、文字、影像都可能成為meme 被所有人不斷二創瘋傳 你知道嗎 迷因不只是一時的流行 更可能是網路世代的國際語言喔 

<小補充> 
WOFFY參與製作的meme塔羅牌 https://shopee.tw/product/152535856/2301551635/ 
迷因科普粉專 培養meme：https://www.facebook.com/cultivatememe/ 
F.E.Ws 少述派勢力：https://www.facebook.com/ForeignEntertainmentWorlds/ 
PTT鄉民百科：https://pse.is/EU237 
政治迷因粉專 政治迷因：https://www.facebook.com/politicalmemes689609426/ 
很純的顏純左：https://www.facebook.com/yctfans/ 
迷因出產或集合 meme generator：https://imgflip.com/memegenerator To be continued 
蒐集推特：https://twitter.com/t_b_c_bot",,,,https://open.firstory.me/story/cjyqpmwbb2qdz07439j0zoagx,
EP25,打開低慾望生活的開關,2019/7/28,"在網購與支付都相當便利的時代 消費越來越簡單 物質生活也前所未有的豐富 但有一群人 希望回歸更簡單的生活形式 適量甚至少量的慾望就能讓自己感到快樂 本次專訪 MEDIUM 作者 曼努 manzoo 由她來與我們分享關於低慾望生活的嘗試與心得 

曼努 medium：https://medium.com/@manzoo 
空屋筆記-免費的自由： https://www.facebook.com/noteinruin 
大原篇里採訪： https://www.youtube.com/watch?v=bwCQ_Oxpp6o 
社團-收納狂的日常：https://www.facebook.com/groups/our.storage.diary/",,,曼努 manzoo,https://open.firstory.me/story/cjyqpmwbe2qe107437bzhrhtx,
EP26,去逛選物店吧,2019/8/7,選物店 顧名思義就是選擇物品來販售的店 不同於主流市場的商品 選物店通常是店主個人品味的延伸 生活風格的顧問 如果你沒聽過 或總是經過但不敢進去 就讓尼爾與 woffy 帶你進門吧,,"聽尼爾說英文『講英文檔次更高、變厲害～』
我非對服飾的選擇走平價路線，尼爾則偏愛選物店，藉由老闆的品味（喜愛的生活型態）對五花八門的物件把關與篩選；選物店的單價較高，很常由小物入門，漸漸往服飾大型物件邁進。",,https://open.firstory.me/story/cjz0o398v1l0o075873c56ce4,
EP27,身為素食者的生活,2019/8/13,吃素可能有各種原因 宗教、環保、尊重生命等等 吃素的人都喜歡吃菜嗎? 素食者的生活是甚麼樣貌呢? 就讓尼爾與新朋友柯柯一起為大家解惑吧~,,,柯柯,https://open.firstory.me/story/cjz9ydcei8cfx0758rhb2o3sr,
EP28,認真聊性是怎樣的一件事情 feat.Sex Chat podcast 談性說愛,2019/8/25,本集專訪了主持 Sex Chat podcast 同為 Podcaster 的揚 近年越來越多網紅或年輕創作者 不再避談性事 無論是以老司機的形象帶路 或是像揚一樣用知識的角度認真解析 都可以感受到性相關的話題越來越普及 透過與揚的對談 來聊聊認真聊性是怎樣的一件事情,,,談性說愛 揚,https://open.firstory.me/story/cjzr3nk2f21ad0758pl0umkst,
EP29,電子遊戲為何讓人沉迷,2019/9/6,從課金手遊到主機大作 電子遊戲產業空前的興盛 為什麼現代人 樂於用現實的時間和金錢交換遊戲世界的成就 本次走漫談路線 從乳搖、打擊感聊到環境對人的影響 來聽聽尼爾和 woffy 的討論吧,,,,https://open.firstory.me/story/ck07ni5cf59lz0786zoe567we,
